image,method,MSE,PSNR,SSIM,Wasserstein,Latent_MSE,diag_mean_purity
person109_bacteria_527.jpeg,dense_angle,607.796875,20.293218980521615,0.8432267737852086,8.546875,3.4666738998970245e-33,
person109_bacteria_527.jpeg,iqp,8569.96875,8.801011225768363,0.4878244001982164,85.171875,0.33627556634345185,0.5068847345899673
person109_bacteria_527.jpeg,amplitude,607.796875,20.293218980521615,0.8432267737852086,8.546875,1.925929944387236e-33,
person109_bacteria_527.jpeg,entangled_angle,6200.51171875,10.20652828231151,0.587953201554717,72.09765625,0.03368522232084957,0.7368242688613771
person109_bacteria_528.jpeg,basis,8166.875,9.01024452423486,0.5955111620627428,76.0078125,0.093923142949663,
person109_bacteria_528.jpeg,angle,252.5546875,24.10724927292986,0.92203822547794,5.828125,1.7429665996704484e-32,
person109_bacteria_528.jpeg,dense_angle,252.5546875,24.10724927292986,0.92203822547794,5.828125,3.851859888774472e-34,
person109_bacteria_528.jpeg,iqp,2834.3515625,13.606266433317797,0.5349517212905982,40.53125,0.22536862681154315,0.5051535287456201
person109_bacteria_528.jpeg,amplitude,252.5546875,24.10724927292986,0.92203822547794,5.828125,0.0,
person109_bacteria_528.jpeg,entangled_angle,2228.65625,14.650372732045314,0.5777745027400258,35.1875,0.08141429490314428,0.718049541655016
person10_virus_35.jpeg,basis,4433.91015625,11.662934720533947,0.7405887631265625,59.11328125,0.12055694378550119,
person10_virus_35.jpeg,angle,245.2578125,24.234575104770872,0.901586781232489,4.7890625,1.2711137632955757e-32,
person10_virus_35.jpeg,dense_angle,245.2578125,24.234575104770872,0.901586781232489,4.7890625,3.177784408238939e-33,
person10_virus_35.jpeg,iqp,8069.703125,9.062228030412427,0.4658329762970652,80.9375,0.1663397532784938,0.5085592918273754
person10_virus_35.jpeg,amplitude,245.2578125,24.234575104770872,0.901586781232489,4.7890625,0.0,
person10_virus_35.jpeg,entangled_angle,7204.390625,9.554831084579542,0.5752295216522061,79.828125,0.031988768770762066,0.7607384319246606
person110_bacteria_531.jpeg,basis,7170.51953125,9.575297377829559,0.48322334040224857,73.73828125,0.10213110695437266,
person110_bacteria_531.jpeg,angle,435.36328125,21.742285632252297,0.837658828890711,6.70703125,1.126669017466533e-32,
person110_bacteria_531.jpeg,dense_angle,435.36328125,21.742285632252297,0.837658828890711,6.70703125,1.7574110742533527e-33,
person110_bacteria_531.jpeg,iqp,8578.4453125,8.79671773879555,0.29248432798570057,81.625,0.4329531654553674,0.5232282310877853
person110_bacteria_531.jpeg,amplitude,435.36328125,21.742285632252297,0.837658828890711,6.70703125,1.564818079814629e-33,
person110_bacteria_531.jpeg,entangled_angle,4706.484375,11.403837396504175,0.5233485009439179,56.8203125,0.04115943213144617,0.6954978688140641
person111_bacteria_533.jpeg,basis,4246.38671875,11.850608180065265,0.7498428277697683,55.78515625,0.13116176163104687,
person111_bacteria_533.jpeg,angle,124.859375,27.166592041852663,0.9463634062894942,2.9296875,1.2634100435180267e-31,
person111_bacteria_533.jpeg,dense_angle,124.859375,27.166592041852663,0.9463634062894942,2.9296875,8.474091755303838e-33,
person111_bacteria_533.jpeg,iqp,4267.59765625,11.828968929240826,0.5569587842879745,57.60546875,0.25815047300922317,0.507396864594577
person111_bacteria_533.jpeg,amplitude,124.859375,27.166592041852663,0.9463634062894942,2.9296875,1.5407439555097887e-33,
person111_bacteria_533.jpeg,entangled_angle,2998.0,13.362487323556495,0.6275028967170624,44.75,0.03335343145797465,0.7553747930045379
person111_bacteria_534.jpeg,basis,10927.21875,7.745707236421561,0.36818181625388346,91.703125,0.11656582929217041,
person111_bacteria_534.jpeg,angle,716.48828125,19.578712693167944,0.8392040848404764,10.35546875,7.125940794232773e-33,
person111_bacteria_534.jpeg,dense_angle,716.48828125,19.578712693167944,0.8392040848404764,10.35546875,5.7777898331617076e-33,
person111_bacteria_534.jpeg,iqp,5878.359375,10.438242276157489,0.21179418626662808,48.359375,0.2818265975894503,0.5043897984091421
person111_bacteria_534.jpeg,amplitude,716.48828125,19.578712693167944,0.8392040848404764,10.35546875,0.0,
person111_bacteria_534.jpeg,entangled_angle,4654.63671875,11.451945696856479,0.4978591512408095,55.76171875,0.040483877215661684,0.6831156556645341
person111_bacteria_535.jpeg,basis,7800.4296875,9.209618343607174,0.5013011793138922,77.65625,0.15165472370334146,
person111_bacteria_535.jpeg,angle,139.9765625,26.670250368256212,0.9225146073890875,4.1796875,5.045936454294558e-32,
person111_bacteria_535.jpeg,dense_angle,139.9765625,26.670250368256212,0.9225146073890875,4.1796875,6.259272319258517e-33,
person111_bacteria_535.jpeg,iqp,3811.0234375,12.32038741209986,0.3875106604236149,32.671875,0.19596541660488487,0.5091510842717455
person111_bacteria_535.jpeg,amplitude,139.9765625,26.670250368256212,0.9225146073890875,4.1796875,4.81482486096809e-34,
person111_bacteria_535.jpeg,entangled_angle,4333.48828125,11.762427343987095,0.5921560501927158,59.01953125,0.02279998698057808,0.8126820893911642
person111_bacteria_536.jpeg,basis,11740.97265625,7.433762842506535,0.23417065865032363,95.18359375,0.12515942813575423,
person111_bacteria_536.jpeg,angle,623.609375,20.181677253579004,0.8169994882752973,9.265625,5.8740863303810694e-33,
person111_bacteria_536.jpeg,dense_angle,623.609375,20.181677253579004,0.8169994882752973,9.265625,1.348150961071065e-32,
person111_bacteria_536.jpeg,iqp,5798.1953125,10.497875203711214,0.5950061693291452,61.6875,0.258197844870207,0.506907208583815
person111_bacteria_536.jpeg,amplitude,623.609375,20.181677253579004,0.8169994882752973,9.265625,0.0,
person111_bacteria_536.jpeg,entangled_angle,5581.5390625,10.663263923624346,0.5672076830993336,65.5078125,0.03634143393521877,0.7285610178655527
person111_bacteria_537.jpeg,basis,10145.59765625,8.068027253520436,0.33874183128532726,92.37890625,0.1491033863523854,
person111_bacteria_537.jpeg,angle,251.51171875,24.125221358103882,0.8925295916077884,4.30859375,4.516305719588068e-32,
person111_bacteria_537.jpeg,dense_angle,251.51171875,24.125221358103882,0.8925295916077884,4.30859375,1.4637067577342992e-32,
person111_bacteria_537.jpeg,iqp,2786.91015625,13.679573926116525,0.6024563957243517,33.89453125,0.12013387596822458,0.5065593356435376
person111_bacteria_537.jpeg,amplitude,251.51171875,24.125221358103882,0.8925295916077884,4.30859375,4.81482486096809e-34,
person111_bacteria_537.jpeg,entangled_angle,5872.109375,10.442862246348666,0.5691542800545123,70.15625,0.023278556800808828,0.8078029177640257
person112_bacteria_538.jpeg,basis,4007.75,12.101797380802704,0.5919345811719219,54.3046875,0.11419519708193293,
